Sub_tariff,6_digits,CIIU4,description,avgtariff
106410000,10641,149,Abejas,0.100000001
106490000,10649,149,Los demás insectos,0.100000001
106900000,10690,149,"Los demás animales, vivos",0.100000001
106900000,10690,149,"Los demás animales, vivos",0.100000001
106901000,10690,149,"Insectos, vivos.",0.100000001
106901000,10690,149,"Insectos, vivos.",0.100000001
106909000,10690,149,"Los demás animales, vivos.",0.100000001
106909000,10690,149,"Los demás animales, vivos.",0.100000001
201100000,20110,1011,"Carne de animales de la especie bovina, fresca o refrigerada, en canales o medias canales.",0.800000012
201100000,20110,1011,"Carne de animales de la especie bovina, fresca o refrigerada, en canales o medias canales.",0.800000012
201100000,20110,1011,"Carne de animales de la especie bovina, fresca o refrigerada, en canales o medias canales.",0.800000012
201200000,20120,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada.",0.800000012
201200000,20120,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada.",0.800000012
201200000,20120,1011,"Los demás cortes (trozos) sin deshuesar, de carne de animales de la especie bovina, fresca o refrigerada.",0.800000012
201300000,20130,1011,"Carne deshuesada de animales de la especie bovina, fresca o refrigerada.",0.800000012
201300000,20130,1011,"Carne deshuesada de animales de la especie bovina, fresca o refrigerada.",0.800000012
201300000,20130,1011,"Carne deshuesada de animales de la especie bovina, fresca o refrigerada.",0.800000012
201300010,20130,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada.",0.800000012
201300010,20130,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada.",0.800000012
201300010,20130,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada.",0.800000012
201300090,20130,1011,"Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada. ",0.800000012
201300090,20130,1011,"Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada. ",0.800000012
201301000,20130,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, fresca o refrigerada.",0.800000012
201309000,20130,1011,"Las demás carnes de animales de la especie bovina, fresca o refrigerada, deshuesada. ",0.800000012
202100000,20210,1011,"Carne de animales de la especie bovina, congelada, en canales o medias canales.",0.800000012
202100000,20210,1011,"Carne de animales de la especie bovina, congelada, en canales o medias canales.",0.800000012
202100000,20210,1011,"Carne de animales de la especie bovina, congelada, en canales o medias canales.",0.800000012
202200000,20220,1011,"Los demás cortes (trozos) de carne de animales de la especie bovina congelada, sin deshuesar.",0.800000012
202200000,20220,1011,"Los demás cortes (trozos) de carne de animales de la especie bovina congelada, sin deshuesar.",0.800000012
202200000,20220,1011,"Los demás cortes (trozos) de carne de animales de la especie bovina congelada, sin deshuesar.",0.800000012
202300000,20230,1011,"Carne de animales de la especie bovina, congelada, deshuesada.",0.800000012
202300000,20230,1011,"Carne de animales de la especie bovina, congelada, deshuesada.",0.800000012
202300000,20230,1011,"Carne de animales de la especie bovina, congelada, deshuesada.",0.800000012
202300010,20230,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada.",0.800000012
202300010,20230,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada.",0.800000012
202300090,20230,1011,"Las demás carnes de animales de la especie bovina, congelada, deshuesada. ",0.800000012
202301000,20230,1011,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada.",0.800000012
202309000,20230,1011,"Las demás carnes de animales de la especie bovina, congelada, deshuesada. ",0.800000012
