hsfull,CIIU4
0302890010,0311
0302890090,0311
0302900000,1012
0302910000,1012
0302920000,0311
0302920010,0311
0302920020,0311
0302920030,0311
0302920040,0311
0302920050,0311
0302920090,0311
0302990000,0311
0303000000,1012
0303100000,1012
0303100000,1012
0303110000,1012
0303120000,1012
0303130000,1012
0303140000,1012
0303190000,1012
0303190000,1012
0303210000,1012
0303210000,1012
0303220000,1012
0303220000,1012
0303230000,1012
0303240000,1012
0303240000,1012
0303250000,1012
0303250000,1012
0303260000,1012
0303290000,1012
0303290000,1012
0303290000,1012
0303310000,1012
0303310000,1012
0303310000,1012
0303320000,1012
0303320000,1012
0303330000,1012
0303330000,1012
0303340000,1012
0303340000,1012
0303390000,1012
0303390000,1012
0303390000,1012
0303410000,1012
0303410000,1012
0303420000,1012
0303420000,1012
0303430000,1012
0303430000,1012
0303440000,1012
0303450000,1012
0303450000,1012
0303460000,1012
0303490000,1012
0303490000,1012
0303500000,1012
0303500000,1012
0303510000,1012
0303520000,1012
0303530000,1012
0303540000,1012
0303550000,1012
0303560000,1012
0303570000,1012
0303590000,1012
0303600000,1012
0303600000,1012
0303610000,1012
0303620000,1012
0303630000,1012
0303640000,1012
0303650000,1012
0303660000,1012
0303670000,1012
0303670000,1012
0303680000,1012
0303690000,1012
0303710000,1012
0303710000,1012
0303720000,1012
0303720000,1012
0303730000,1012
0303730000,1012
0303740000,1012
0303740000,1012
0303750000,1012
0303750000,1012
0303760000,1012
0303760000,1012
0303770000,1012
0303770000,1012
0303780000,1012
0303780000,1012
0303790000,1012
0303790000,1012
0303790010,1012
0303790090,1012
0303800000,1012
0303800000,1012
0303810000,1012
0303810010,1012
0303810020,1012
0303810030,1012
0303810040,1012
0303810050,1012
0303810060,1012
0303810090,1012
0303820000,1012
0303830000,1012
0303830000,1012
0303840000,1012
0303890000,1012
0303890010,1012
0303890090,1012
0303900000,1012
0303910000,1012
0303920010,1012
0303920020,1012
0303920030,1012
0303920040,1012
0303920050,1012
0303920090,1012
0303990000,1012
0304100000,1012
0304100000,1012
0304110000,1012
0304120000,1012
0304190000,1012
0304190010,1012
0304190090,1012
0304200000,1012
0304200000,1012
0304201000,1012
0304209000,1012
0304210000,1012
0304220000,1012
0304291000,1012
0304299000,1012
0304299010,1012
0304299090,1012
0304310000,1012
0304320010,1012
0304320090,1012
0304330000,1012
0304390000,1012
0304410000,1012
0304420000,1012
0304430000,1012
0304440000,1012
0304450000,1012
0304460000,1012
0304460000,1012
0304470000,1012
0304480000,1012
0304490000,1012
0304490010,1012
0304490090,1012
0304510010,1012
0304510090,1012
0304510090,1012
0304520000,1012
0304530000,1012
0304540000,1012
0304550000,1012
0304550000,1012
0304560000,1012
0304570000,1012
0304590000,1012
0304590010,1012
0304590090,1012
0304610000,1012
0304620010,1012
0304620090,1012
0304630000,1012
0304690000,1012
0304710000,1012
0304720000,1012
0304730000,1012
0304740000,1012
0304750000,1012
0304750000,1012
0304790000,1012
0304810000,1012
0304820000,1012
0304830000,1012
0304840000,1012
0304850000,1012
0304850000,1012
0304860000,1012
0304870000,1012
0304880000,1012
0304890000,1012
0304890010,1012
0304890090,1012
0304900000,1012
0304900000,1012
0304910000,1012
0304920000,1012
0304920000,1012
0304930010,1012
0304930090,1012
0304940000,1012
0304940000,1012
0304950000,1012
0304950000,1012
0304960000,1012
0304970000,1012
0304990000,1012
0304990000,1012
0304990010,1012
0304990090,1012
0305100000,1012
0305100000,1012
0305100000,1012
0305200000,1012
0305200000,1012
0305200010,1012
0305200090,1012
0305300000,1012
0305301000,1012
0305301000,1012
0305309000,1012
0305309000,1012
0305310000,1012
0305320000,1012
0305391000,1012
0305399000,1012
0305400000,1012
0305410000,1012
0305410000,1012
0305410000,1012
0305420000,1012
0305420000,1012
0305420000,1012
0305430000,1012
0305440000,1012
0305490000,1012
0305490000,1012
0305490000,1012
0305510000,1012
0305510000,1012
0305510000,1012
0305510000,1012
0305520000,1012
0305531000,1012
0305539000,1012
0305540000,1012
0305590000,1012
0305590000,1012
0305591000,1012
0305591000,1012
0305592000,1012
0305592000,1012
0305592000,1012
0305599000,1012
0305599000,1012
0305599000,1012
0305610000,1012
0305610000,1012
0305610000,1012
0305620000,1012
0305620000,1012
0305620000,1012
0305630000,1012
0305630000,1012
0305630000,1012
0305640000,1012
0305690000,1012
0305690000,1012
0305690000,1012
0305710000,1012
0305710010,1012
0305710020,1012
0305710030,1012
0305710040,1012
0305710050,1012
0305710090,1012
0305720000,1012
0305790000,1012
0305791000,1012
0305799000,1012
0306110000,1012
0306110000,1012
0306110000,1012
0306110000,1012
0306120000,1012
0306120000,1012
0306120000,1012
0306120000,1012
0306131000,1012
0306131000,1012
0306131000,1012
0306131100,1012
0306131200,1012
0306131300,1012
0306131400,1012
0306131900,1012
0306139000,1012
0306139010,1012
0306139010,1012
0306139010,1012
0306139020,1012
0306139020,1012
0306139020,1012
0306139090,1012
0306139090,1012
0306139090,1012
0306139110,1012
