cpcrev2,CONSERVATIVE,LIBERAL,CIIU4
8451,n,n,1410
8452,n,n,1410
8453,n,n,1430
8454,n,n,1410
8455,n,n,1410
8456,n,n,1410
8458,n,n,1410
8459,n,n,1410
8461,n,n,1410
8462,n,n,1430
8469,n,n,1410
8472,n,n,1430
8481,n,n,1410
8482,n,n,2229
8483,n,n,1420
8484,n,n,1410
8511,n,n,1522
8512,n,n,3230
8513,n,n,1522
8514,n,n,1522
8515,n,n,1522
8517,n,n,1522
8711,n,n,2670
8719,n,n,2670
8720,n,n,3250
8731,n,n,2651
8732,n,n,2651
8741,n,n,2651
8742,n,n,2819
8744,n,n,2651
8745,n,n,2651
8746,n,n,2651
8747,n,n,2651
8749,n,n,2651
8811,n,n,2670
8812,n,n,2670
8813,n,n,2670
8822,n,n,2029
8841,n,n,2731
8842,n,n,3250
8843,n,n,2670
8852,n,n,2652
8854,n,n,2652
8855,n,n,2652
8857,n,n,2652
8859,n,n,2652
8921,n,n,3290
8928,n,n,1709
8931,n,n,2229
8932,n,n,2229
8933,n,n,2229
8939,n,n,2221
8941,n,n,3092
8942,n,n,3240
8943,n,n,2640
8944,n,n,2740
8946,n,n,2829
8947,n,n,3230
8951,n,n,2599
8952,n,n,3290
8959,n,n,2029
8972,n,n,3210
8981,n,n,3220
8982,n,n,3220
8983,n,n,2680
8984,n,n,2680
8986,n,n,2680
8991,n,n,3290
8993,n,n,3290
8994,n,n,3290
8996,n,n,3250
8997,n,n,1690
8998,n,n,3290
8999,n,n,3290
9510,n,n,2520
9610,w,w,3210
9710,w,w,2421
